First Initial,Second Initial,Last Name
H,,AAB
R,,AARTSEN
B,P,ABBOTT
R,,ABBOTT
T,D,ABBOTT
Y,,ABBOTT
M,A,ABDALLA
A,G,ABE
P,,ABEYSEKARA
S,,ABHIRUPGHOSH
L,R,ABRAMO
A,,ABRAMOWSKI
P,,ABREU
F,,ACERNESE
F,,ACERO
M,,ACKERMANN
K,,ACKLEY
C,,ADAMS
J,,ADAMS
M,,ADAMS
T,,ADAMS
P,,ADDESSO
R,X,ADHIKARI
V,B,ADYA
C,,AFFELDT
M,,AFROUGH
B,,AGARWAL
M,,AGATHOS
K,,AGATSUMA
N,,AGGARWAL
M,,AGLIETTA
C,,AGLIOZZO
I,,AGUDO
O,D,AGUIAR
J,A,AGUILAR
F,,AHARONIAN
M,,AHLERS
M,,AHRENS
L,,AIELLO
A,,AIN
F,,AITBENKHALI
P,,AJITH
S,,AKRAS
A,,ALBERT
Y,X,ALBERT
M,,ALBUQUERQUE
J,M,ALBURY
J,S,ALCANIZ
G,,ALESSRONAVARRINI
K,D,ALEXER
R,,ALFARO
S,,ALLAM
I,,ALLEKOTTE
B,,ALLEN
G,,ALLEN
J,,ALLISON
J,R,ALLISON
A,,ALLOCCA
A,,ALMELA
I,,ALSAMARAI
P,A,ALTIN
D,,ALTMANN
C,,ALVAREZ
J,,ALVAREZ-MU˜NIZ
J,,ALVAREZCASTILLO
L,,AMATI
A,,AMATO
T,,AN
A,,ANANYEVA
G,A,ANASTASI
L,,ANCHORDOQUI
S,V,ANGELOVA
M,,ANGHINOLFI
C,R,ANGUS
E,O,ANG¨UNER
J,,ANNIS
I,,ANSSEAU
S,,ANTIER
G,,ANTON
L,A,ANTONELLI
G,C,ANUPAMA
K,,AOKI
W,,AOKI
S,,APPERT
R,L,APTEKAR
K,,ARAI
M,,ARAKAWA
C,,ARAMO
M,C,ARAYA
M,WHITINGI,ARCAVI
R,,ARCEO
S,,ARCHISMANGHOSH
J,S,AREEDA
G,,ARESU
A,,ARGAN
C,,ARG¨UELLES
N,,ARNAUD
M,,ARRIETA
N,,ARSENE
J,C,ARTEAGA-VEL´AZQUEZ
R,,ARTOLA
K,G,ARUN
A,W,ARUNAVAMUKHERJEE
Y,,ASAKURA
Y,,ASAOKA
S,,ASCENZI
C,,ASHALL
Y,,ASHLEY
G,,ASHTON
H,,ASOREY
P,,ASSIS
M,,AST
S,M,ASTON
P,,ASTONE
D,V,ATALLAH
W,B,ATWOOD
J,-J,AUBERT
P,,AUBERT
J,,AUFFENBERG
P,,AUFMUTH
C,,AULBERT
K,,AULTONEAL
C,,AUSTIN
T,,AVGITAS
G,,AVILA
A,,AVILA-ALVAREZ
D,,AVILAROJAS
S,,AXANI
H,A,AYALASOLARES
‡S,,BAAR
S,,BABAK
M,,BACHETTI
M,,BACKES
P,,BACON
P,,BADER
A,M,BADESCU
S,,BAE
H,,BAGHERPOUR
X,,BAI
M,,BAILES
P,T,BAKER
A,,BALACEANU
P,V,BALANUTSA
M,ZOLLA,BALASUBRAMANIAN
E,,BALBINOT
F,,BALDACCINI
L,,BALDINI
G,,BALLARDIN
S,W,BALLMER
J,,BALLY
A,,BALZER
S,,BANAGIRI
M,,BANERJI
K,W,BANNISTER
J,C,BARAYOGA
C,,BARBARINO
F,,BARBATO
A,S,BARBER
G,,BARBIELLINI
S,E,BARCLAY
B,,BARET
B,C,BARISH
D,,BARKER
K,,BARKETT
M,,BARNARD
J,,BARNES
F,,BARONE
B,,BARR
R,J,BARREIRALUZ
J,,BARRIOS-MART´I
J,P,BARRON
L,,BARSOTTI
M,,BARSUGLIA
D,,BARTA
J,D,BARTHELMY
S,D,BARTHELMY
J,,BARTLETT
I,,BARTOS
S,,BARWAY
S,W,BARWICK
S,,BASA
R,,BASSIRI
A,,BASTI
D,,BASTIERI
J,C,BATCH
F,E,BAUER
V,,BAUM
M,,BAWAJ
R,,BAY
J,C,BAYLEY
M,,BAZZAN
A,,BAZZANO
A,P,BEARDMORE
J,J,BEATTY
J,,BECERRAGONZALEZ
J,,BECERRAGONZ´ALEZ
A,,BECERRIL
Y,,BECHERINI
K,,BECHTOL
K,H,BECKER
J,,BECKERTJUS
C,,BEER
M,,BEJGER
I,,BELAHCENE
B,,BELHORMA
A,S,BELL
J,A,BELLIDO
E,,BELLM
E,,BELMONT-MORENO
S,,BENETTI
A,,BENOIT-L´EVY
S,,BENZVI
S,Y,BENZVI
C,,BERAT
B,,BERENJI
D,,BERGE
B,K,BERGER
C,ROJAS-BRAVOE,BERGER
G,,BERGMANN
D,,BERLEY
A,,BERNAL
E,,BERNARDINI
M,G,BERNARDINI
S,,BERNHARD
K,,BERNL¨OHR
J,J,BERO
M,,BEROIZ
J,J,BERRY
D,,BERSANETTI
M,E,BERTAINA
E,,BERTIN
V,,BERTIN
A,,BERTOLINI
M,,BERTON
X,,BERTOU
M,S,BESSELL
D,Z,BESSON
R,,BESWICK
J,,BETZWIESER
S,,BHAGWAT
V,,BHALERAO
R,,BHARE
D,,BHATTACHARYA
S,,BIAGI
P,L,BIERMANN
I,A,BILENKO
G,,BILLINGSLEY
C,R,BILLMAN
G,,BINDER
D,,BINDIG
J,,BIRCH
R,,BIRNEY
O,,BIRNHOLTZ
S,,BISCANS
S,,BISCOVEANU
A,,BISHT
E,,BISSALDI
J,,BITEAU
M,,BITOSSI
C,,BIWER
M,A,BIZOUARD
M,,BL
J,K,BLACKBURN
L,,BLACKBURN
J,,BLACKMAN
R,,BLACKWELL
S,G,BLAESS
N,,BLAGORODNOVA
C,D,BLAIR
D,G,BLAIR
R,M,BLAIR
P,,BLANCHARD
A,,BLANCO
E,,BLAUFUSS
J,,BLAZEK
C,,BLEVE
R,D,BLFORD
S,,BLOEMEN
E,D,BLOOM
S,,BLOT
R,,BOBJACOBS
O,,BOCK
N,,BODE
M,,BOER
G,,BOGAERT
A,,BOHE
C,,BOHM
M,,BOH´AˇCOV´A
C,,BOISSON
J,,BOLMONT
I,A,BOND
F,,BONDU
C,,BONIFAZI
E,,BONILLA
R,,BONINO
R,,BONN
S,,BONNEFOY
S,,BONOLI
T,,BOOLER
B,A,BOOM
P,,BORDAS
R,,BORK
R,,BORMUTH
N,,BORODAI
F,,BOS
V,,BOSCHI
D,,BOSE
S,,BOSE
K,,BOSSIE
O,,BOTNER
E,,BOTTACINI
A,M,BOTTI
M,T,BOTTICELLA
Y,,BOUFFANAIS
E,,BOURBEAU
J,,BOURBEAU
S,,BOURRET
M,C,BOUWHUIS
A,,BOZZI
E,,BOZZO
J,,BRACK
C,,BRADASCHIA
F,,BRADASCIO
P,R,BRADY
M,,BRANCHESI
I,,BRANCUS
J,E,BRAU
J,,BRAUN
L,,BRAYEUR
A,A,BREEVELD
J,,BREGEON
M,,BRENZKE
H,-P,BRETZ
T,,BRETZ
T,,BRIANT
A,,BRIDGEMAN
F,L,BRIECHLE
M,S,BRIGGS
A,,BRILLET
M,,BRINKMANN
C,,BRISBOIS
V,,BRISSON
E,,BROCATO
P,,BROCKILL
J,W,BRODERICK
J,E,BROIDA
S,,BRON
A,F,BROOKS
D,,BROOKS
J,,BROSTEAN-KAISER
D,,BROUT
D,A,BROWN
D,D,BROWN
I,S,BROWN
S,,BRT
MMA—LIGO-P-VR,,BRUIJN
F,,BRUN
P,,BRUN
S,,BRUNETT
J,,BRUNNER
S,H,BRUUN
M,,BRYAN
H,,BRˆANZAS¸
C,C,BUCHANAN
P,,BUCHHOLZ
S,,BUCKLEY
E,,BUCKLEY-GEER
N,M,BUDNEV
A,,BUENO
F,,BUFANO
F,,BUFFA
A,,BUIKEMA
S,,BUITINK
A,,BULGARELLI
J,,BULGER
T,,BULIK
M,,BULLA
H,J,BULTEN
A,,BUONANNO
M,,BURGAY
J,M,BURGESS
A,,BURGMAN
D,L,BURKE
E,,BURNS
D,N,BURROWS
M,,BUSCEMI
D,,BUSKULIC
S,,BUSON
J,,BUSTO
N,R,BUTLER
R,E,BUTLER
M,,BUTTU
C,,BUY
R,L,BYER
M,,B¨ORNER
S,,B¨OSER
M,,B¨OTTCHER
M,,B¨UCHELE
B,,B´ECSY
M,D,CABALLERO-GARC´IA
K,S,CABALLERO-MORA
M,,CABERO
J,,CABRAL
L,,CACCIANIGA
L,,CADONATI
G,,CAGNOLI
C,,CAHILLANE
J,,CALDER´ONBUSTILLO
T,A,CALLISTER
E,,CALLONI
W,,CALTECH-NRAO
R,A,CAMERON
O,,CAMILO
J,B,CAMP
S,,CAMPANA
R,,CAMUCCIO
A,,CANCIO
M,,CANEPA
F,,CANFORA
P,,CANIZARES
C,,CANNELLA
G,,CANNIZZARO
K,C,CANNON
Z,,CANO
H,,CAO
J,,CAO
X,L,CAO
M,,CAPACCIOLI
C,D,CAPANO
M,,CAPASSO
T,,CAPISTR´AN
E,,CAPOCASA
A,,CAPONE
D,,CAPOZZI
E,,CAPPELLARO
R,,CAPUTO
L,,CARAMETE
P,,CARAVEO
P,A,CARAVEO
F,,CARBOGNANI
G,,CARBONI
M,,CARDILLO
T,,CARIA
S,,CARIDE
J,L,CARLIN
G,,CARLOMIGONI
A,,CARNEROROSELL
M,F,CARNEY
S,,CAROFF
A,,CAROSI
J,,CARR
A,,CARRAMI˜NANA
M,,CARRASCOKIND
E,,CARRETTI
R,,CARTIER
R,,CARUSO
T,,CARVER
C,,CASADIO
S,,CASANOVA
J,,CASANUEVADIAZ
V,,CASASOLA
P,,CASELLA
C,,CASENTINI
J,,CASEY
M,,CASIER
P,,CASTANGIA
A,,CASTELLINA
A,,CASTELL´ON
F,J,CASTER
M,,CASTILLO
M,,CASTRO-TIRADO
J,M,CASTROCER´ON
S,,CASU
F,,CATALANI
G,,CATALDI
P,W,CATTANEO
S,,CAUDILL
M,,CAVAGLI`A
F,,CAVALIER
R,,CAVALIERI
E,,CAVAZZUTI
L,,CAZON
G,,CELLA
S,,CELLI
S,B,CENKO
C,B,CEPEDA
P,,CERD´A-DUR´AN
G,,CERRETANI
M,,CERRUTI
E,,CESARINI
V,,CHABUSHYAN
N,,CHAKRABORTY
S,J,CHAMBERLIN
TTU-NRAONUSTARCOLLABORATIONS)K,C,CHAMBERS
M,,CHAN
S,-W,CHANG
Z,,CHANG
S,,CHAO
P,,CHARLTON
E,,CHASE
E,,CHASSE-MOTTIN
D,,CHATTERJEE
K,,CHATZIIOANNOU
N,,CHAVES
A,G,CHAVEZ
B,D,CHEESEBORO
A,,CHEKHTMAN
A,,CHEN
G,,CHEN
H,Y,CHEN
L,,CHEN
T,X,CHEN
X,,CHEN
Y,,CHEN
Y,B,CHEN
Y,P,CHEN
Ł,,CHEN
J,,CHENEVEZ
H,-P,CHENG
R,,CHERKAOUIELMOURSLI
M,L,CHERRY
C,C,CHEUNG
E,,CHEUNG
J,,CHEVALIER
H,,CHIA
J,,CHIANG
T,,CHIARUSI
A,,CHINCARINI
J,A,CHINELLATO
D,,CHIRKIN
A,,CHIUMMO
T,,CHMIEL
H,S,CHO
M,,CHO
C,,CHOI
R,,CHORNOCK
J,H,CHOW
P,,CHRA
N,,CHRISTENSEN
A,,CHRISTOV
Q,,CHU
Q,,CHUA
S,,CHUA
J,,CHUDOBA
S,,CHUNG
N,,CHUNGLEEKIM
G,,CIANI
A,,CIKOTA
R,,CIOLFI
S,,CIPRINI
M,,CIRCELLA
C,E,CIRELLI
A,,CIRONE
F,,CLARA
J,A,CLARK
K,,CLARK
P,,CLARK
T,E,CLARKE
L,,CLASSEN
R,W,CLAY
P,,CLEARWATER
F,,CLEVA
W,H,CLEVEL
B,E,COBB
A,C,COBOSCERUTTI
C,,COCCHIERI
E,,COCCIA
M,,COELHO
P,,COELHO
S,,COENDERS
P,-F,COHADON
D,,COHEN
J,,COHEN-TANUGI
S,,COLAFRANCESCO
R,,COLALILLO
C,,COLAZO
A,,COLEIRO
A,,COLEMAN
A,,COLLA
C,G,COLLETTE
L,,COLLICA
G,H,COLLIN
M,R,COLUCCIA
L,R,COMINSKY
R,,CONCEIC¸˜AO
R,,CONCU
B,,CONDON
R,,CONIGLIONE
V,,CONNAUGHTON
J,,CONRAD
J,M,CONRAD
G,,CONSOLATI
L,,CONTI
F,,CONTRERAS
D,O,COOK
E,R,COOK
D,MAOZJ,COOKE
M,J,COOPER
S,J,COOPER
C,,COPPERWHEAT
P,,CORBAN
T,R,CORBITT
I,,CORDERO-CARRI´ON
K,R,CORLEY
N,,CORNISH
A,,CORONGIU
J,M,CORRAL-SANTANA
A,,CORSI
S,,CORTESE
C,A,COSTA
E,,COSTA
M,V,COSTA-DUARTE
D,,COSTANTIN
H,,COSTANTINI
U,,COTTI
J,,COTZOMI
M,,COUGHLIN
M,W,COUGHLIN
S,B,COUGHLIN
J,-P,COULON
D,A,COULTER
S,T,COUNTRYMAN
J,,COURVOISIER
S,,COUTI˜NODELE´ON
S,,COUTU
P,,COUVARES
P,B,COVAS
C,E,COVAULT
S,,COVINO
E,E,COWAN
D,M,COWARD
T,,COWARD
